department_code,department_label,department_full_label
,上海钰申,上海钰申
,上海浦嘉,上海浦嘉
,安信普华(北京),安信普华财富投资管理（北京）有限公司
,合作—德聚公司,合作—德聚公司
,一诺财富,一诺财富
,钰诚融泰,钰诚融泰
,上海璟益,上海璟益
,赛杰思公司,赛杰思公司
,上海仁立,上海仁立网络科技有限公司
,多元营销事业部,多元营销事业部
,融泰公司(安徽),融泰公司（安徽）
,利赢北京,利赢北京
,金钰联合,金钰联合
,卓信至诚公司,卓信至诚公司
